,Tweets,Sentiment
18,early 2018 waiting board flight bangalore airport saw men dressed white kurta dhoti speaking kannada seemingly profile rural farmers possibly stereotyping let us presume true walking around airport,Positive
19,airindia waiting bangalore airport baggage service 78 months bag mishandled broken easily costs 67k clueless resolution staff asking keep waiting,Positive
20,indigo6e waiting 30mins meet manager bangalore airport purposely delaying issue,Neutral
21,waiting vistara flight hyderabad bangalore airport certainly better organised comfortable lot vip passengers escorted across hundreds wait patiently next time come white starched shirt,Positive
22,bad management bangalore airport terminal 2 pickup point millions mosquitoes waiting bite anyone waits pickup one looks aspect also,Negetive
23,travelling bbi staff boarded pune flight waiting cisf bangalore airport clearance since 115 mins akasaairline taking responsibility stop mistake customer suffers akasaair ,Negetive
24,indigo6e senior citizen mother waiting wheelchair wc bangalore airport 20 mins turn came spoke wc staff took someone came us fight hard get next wc pls token system wc,Negetive
25,airindia waiting last 25 mins bangalore airport luggage yet,Neutral
26,thaiairways pathetic service waiting flight tg326 bangalore bkk already delayed 3hours connecting flight bkk bali 935am better miss connection one clue bangalore airport,Negetive
27,bangalore airport waiting area seat trash learn normal spend thousands air tickets hundreds snacks amp beveragesthen please dont,Positive
28,bangalore airport serious ground handling problem 420 flight abu dhabi landed 0300 still waiting luggage 21cceducation help train manpower,Negetive
29,rgiahyd gmrcenter lounges waiting time getting encalm lounge something learned bangalore airport lounge facilities,Neutral
30,akasaair domestic departure checkin counter bangalore airport counter 59 60 waiting time 1 hour 2 past midnight first ever flight guys serious dampener god bless airline,Negetive
31,indigo6e im sitting flight 9pm take time 920 flight till bangalore airport already 1 hr late crew announcing anything regarding sitting waiting flight take dont guys value passengers time,Negetive
32,akasaair wasted 5 hours amp one could help us 10 mins medical emergency didnt let us board flight wasted money plus 20 people waiting thing bangalore airport guys purposely taking money akasaair,Negetive
33,akasaair worst airline 30 people line yesterday bangalore airport missed flight people waiting 2hours prior also missed amp crying one cared akasaair looting money clearly shit company,Negetive
34,go air bothering inform passengers waiting bangalore airport delays scheduled depart 2135 hrs bengaluru dgcaindia,Neutral
35,etihad flying first time guys could well last time ticket details website shows everything per passport correctly counter staff bangalore airport update im waiting 30 mins counting,Positive
36,bangalore airport greatly improved last 5 months also sa pila sa immigration nung nagppile na yung queue 3 windows opened sped waiting time wala nako sasabihin lol pure observation lang,Positive
37,dearest airfrancein currently bangalore airport roughly 5 hours waiting check midnight flight please open checkin counters food stores security im dying,Negetive
38,used digi yatra today bangalore airport skipped waiting behind atleast 50 people saved atleast 15 20 mns dont know whether happening airports things changing good india faster rate good initiatives government,Positive
39,tweeted 28 march till today revert waiting bangalore airport without fault 2 hours worst gofirstairways worst service,Negetive
40,indigo6e officejmscindia dgcaindia pathetic service indigo6e blrairport wheel chair patients still waiting flight 6e 2514 bangalore airport since 30 minswheel chair provided yet,Negetive
41,allianceair tarmac bangalore airport gate 27 waiting boarding flight 9i501 last 90 minutes pl needful,Neutral
42,burgers fries place bangalore airport t2 near waiting gate wifi showed list asked whats wifi staff informed wifi airport,Positive
43,respected gadkari saheb please check functioning toll plaza near bangalore airport always long que nice road city entire fun lost waiting please something,Positive
44,airindiain landing bangalore airport waiting baggage since 30 minutes lol okay mistake book air india flight apologise,Positive
45,pls take care service quality bangalore airport exit waiting since 10 minutes ginger time go ur competition,Neutral
46,hi respected sirs thanks blessing us lovely waiting area bangalore airport please also help commonsense use 1 seat head 1 legs 1 luggage others,Positive
47,today travelling bangalore airport need medicine purchase found medical store first floor security areawaiting area enquired info desk told medical store surprise,Positive
48,crows inside bangalore airport crowing away needs fixed inside boarding waiting area,Positive
49,dude birds bangalore airport waiting area garden city garden airport,Neutral
50,great experience bangalore airport colleague forgot hand bag waiting area reached aircraft ground person ejaz helped us get full efficiency great job ejaz amp beyond expectation,Positive
51,bangalore airport small domestic international limited check kiosks security cumbersome passenger waiting area also smaller lounge bangalore much better though,Positive
52,bangalore airport large plush domestic transfer area ill planned chaotic,Negetive
53,time bangalore airport good try visiting ground level lounge great ambiance food fab great waiting area well ps properly sanitized proper precautions taken cheers,Positive
54,ive waiting half hour baggage services area bangalore airport service belongs crappers would something,Negetive
55,puro gusto coffee shop waiting area bangalore airport fave coffee really good renovation months god knows building,Positive
56,waiting bangalore airport fly kolkata beautiful airport enjoying hospitality longue,Positive
57,travelled bus route 8 bangalore airport hospitality conductor awesome helpful good service,Positive
58,airindiain pathetic hospitality bangalore airport fight delayed catch train delhi allowed 11kg cabin bag,Negetive
59,conveniently located kempegowda international airport road red key airport hotel offers guests welcoming budget friendly hospitality best budget hotel close bangalore airport,Positive
60,indigo6e indigo best always 6e 6sigmaat bangalore airport indigos ground staff ms ramya amp shewtha took pains meet amp wife drhemalatha felicitate us enquire welfarewe spell bound nectar 6e hospitalitythanks drnadarajan,Positive
61,blrairport today traveling bangalore maduraii enjoyed service bangalore airport lounge hospitality nice food tasted good enjoyed stay,Positive
62,blrairport bangalore launch may times never disappointed hospitality kind food serve bangalore airport must checkin launch special dont forget say hi sachin hell treat like family member,Positive
