,Tweets,Sentiment
43,airvistara somitbha especially bangalore mumbai flight service slow also staff bangalore airport needs trained courteous forcing check hand baggage even though 2 laptop asked carry two laptops hand,Positive
44,first time bangalore airport t2 appealing feel pretty small number lines security checks seem less 080 lounge felt small really hope planned keeping future scale mind immediate stop gap,Positive
45,used concierge service via magnus tthe first time bangalore airport due wait getting airport queue checkin counters fast track immigration fasttracked security big problem though,Positive
46,akasaair bangalore airport baggage checkin counter pathetic service standing que since 40 mins take 1 hour,Negetive
47,  please know immigration done bangalore airport however dont worry able complete necessary checks ground team assist regard,Positive
48,used digiyatra first time bangalore airport superfast smooth checkin experience separate queue entry amp security boarding gate within 15 minutes official blrairport,Positive
49,good experience flights bad experience airvistara staff bangalore airport checkin counters check counter staff couldnt verify visa asked book return tickets checkin,Positive
50,safiranand experience bangalore airport enter airport q security check long q due understaffed got security fellows thrown backpack different lane unable trace backpack nearly hour missed flight,Negetive
51,neurochauhan yes years back almost missed flight goa due long queue bangalore airport entranceas result check counter got closed persuasion ai official given handwritten boarding pass since others like us late,Negetive
52,good experience flights bad experience airvistara staff bangalore airport checkin counters checkin counter staff couldnt verify visa asked book return tickets checkin,Positive
53,superb hospitality exceptional service alfia noor akasaair bangalore airport checkin counter alfianoor blrairport,Positive
54,flykingfisher sure back soon must commend excellent lounge bangalore airport warm hospitality,Positive
55,thank kempegowda bangalore airport hospitality cleanliness notjustanairport,Neutral
56,vistara one manager whole bangalore airport heshe dont time meet platinum greveince customer even waiting 30 mins pathetic services tata group known hospitality,Negetive
57,blrairport sharwin thank good hospitality service never got good service hospitality lounge thank bangalore airport,Positive
58,blrairport bangalore launch may times never disappointed hospitality kind food serve bangalore airport must checkin launch special dont forget say hi sachin hell treat like family member,Positive
59,thank meet amp assist hospitality bangalore airport indigo6e surya proactive helpful,Neutral
60,transfer flight wait long bangalore airport must say hospitality blr lounge good especially service jenita lexi arun nice make comfortable blrairport,Positive
61,thank spandana goairlinesindia wonderful hospitalityservice warm behaviour bangalore airport,Positive
62,24x7 assured bengaluru airport transfers class leading hospitality ride motto love bengaluru thank,Positive
63,received warm welcome bengaluru airport office bearers karyakatas grateful kind gesture hospitality,Positive
64,staff airport local auto rickshaw drivers masses bangalore polite well mannered hospitality,Neutral
65,spent lovely evening bengaluru airport taproom great hospitality lr guruswamy nusra vishnu sagar course amazing beers,Positive
66,jun 9 nice design overall t2 airport looks like bambooluru airport instead bengaluru airport bangalore hospitality 1 1 78,Positive
67,took air india bangalore mumbai flight delayed bland sandwich served post landing gate didnt open,Negetive
68,bengaluru airport office bearers karyakatas bjp4andhra bharatiya mazdoor sangh grateful kind gesture hospitality,Positive
69,ridiculous hospitality 2 harish babu r p reposted narendra bangalore mumbai indigo flight delayed highly irresponsible attitude staff,Negetive
70,worst ever experience terms hospitality humanity 1 1 1 jasmeet johar oct 2 2022 replying naam_anisha indigo6e bangalore airport,Negetive
71,red key budgetfriendly 2star hotel bangalore near airport welldecorated property boasts warm hospitality modern amenities,Positive
72,airline like jet airways unbelievable hospitality efficiency thank rhea akshata look arrivals bengaluru airport tells,Negetive
73,bangalore long journey guys got active stretched indian hospitality simply awesome takingrefuge,Positive
74,akasaair harassed bangalore airport today group staff 10 passengers complaining ridicule faced cia officer comes heavy face helplessness team untrained shrewd arrogant staff hospitality ever worstairlinestaff,Negetive
75,superb hospitality exceptional service alfia noor akasaair bangalore airport checkin counter alfianoor blrairport,Positive
76, yesterday traveling sydney qf68 wonderful experience bangalore manish amp piyush helpful airport amp qantas amazing experience world class excellent hospitality nice aircraft thanks,Positive
77,blrairport blrdomesticlounge really nice experience bangalore airport lounge nice hospitality akshyaliked food herewill see bangalore,Positive
78,always pleasure tovisit lounge bangalore airport thanks mr veer superb hospitality ,Positive
79,staff airport local auto rickshaw drivers masses bangalore polite well mannered really impressed custom culture thanks excellent hospitality,Positive
80,experience airport staff pleasantwas overwhelmed happiness assistance hospitality indigo6e staff dhanalakshmi bangalore airport wonderful flight,Positive
81,080 lounge bangalore international airport good hospitality good service,Positive
82,blrairport blrdomesticlounge lounge experience good bangalore airport hospitality sreelekshmi good,Positive
83,blrairport today landed bangalore went airport lounge really amazing hospitality excellent food variety tasty yummy food please try everyone feel bliss atmosphere,Positive
84,airasiaindia blrairport blr airport denied lounge access reached 4 hr earlier expected 3 hrs amp thanks air asia putting us 1 stop flight via bangalore mean really need scale hospitality level 7 yr old kid 110,Positive
85,flykingfisher sure back soon must commend excellent lounge bangalore airport warm hospitality,Positive
86,waiting bangalore airport fly kolkata beautiful airport enjoying hospitality longue,Positive
87,good bye bangalore thank good hospitality kempegowda international airport departure terminal ,Positive
88,airindiain pathetic hospitality bangalore airport fight delayed catch train delhi allowed 11kg cabin bag,Negetive
89, first flight alone good bhopal pune via bangalore airport authority staff good hospitality noticed clueless guided baggage check security clearance aai notjustanairport a0kash73 03aakansha ,Positive
90, thank kempegowda bangalore airport hospitality cleanliness notjustanairport ,Neutral
91,blrairport blr lounge bangalore airport waiting board flight best hospitality sirvice given mr nagaraj team best lounge india,Positive
92,blrairport sharwin thank good hospitality service never got good service hospitality lounge thank bangalore airport ,Positive
93,blrairport today traveling bangalore maduraii enjoyed service bangalore airport lounge hospitality nice food tasted good enjoyed stay,Positive
94,blrairport would like thanks mr manjunath team wonderful hospitality bangalore airport team polite service oriented basically customer centric pandemic efforts mind blowing keep guys,Positive
